Date,EWA,EWC,IGE
20090421,11.57,16.75,23.23
20090422,11.29,16.75,23.09
20090423,11.82,17.28,23.7
20090424,12.01,17.72,24.52
20090427,11.62,17.24,24
20090428,11.41,17.08,23.79
20090429,12.02,17.6,24.54
20090430,12.11,17.53,24.23
20090501,12.23,18.14,25.14
20090504,13.06,19.03,26.51
20090505,12.91,19.03,26.18
20090506,13.22,19.73,27.3
20090507,13.11,19.19,26.8
20090508,13.8,20.14,28.22
20090511,13.17,19.71,27.44
20090512,13.3,19.75,27.45
20090513,12.5,18.61,26.29
20090514,12.72,19.11,26.49
20090515,12.43,18.8,25.91
20090518,13.07,19.68,26.81
20090519,13.36,19.8,27.13
20090520,13.37,20.44,27.61
20090521,13.08,19.93,26.79
20090522,13.23,20.3,26.98
20090526,13.66,20.98,27.67
20090527,13.1,20.72,27.31
20090528,13.24,21.36,28.36
20090529,13.89,21.89,29.05
20090601,14.58,22.29,30.02
20090602,14.87,22.43,29.91
20090603,14.4,21.34,28.4
20090604,14.32,21.88,29.09
20090605,14.27,21.57,28.8
20090608,14.03,21.56,28.78
20090609,14.44,21.87,29.06
20090610,14.77,21.8,29.09
20090611,15.27,22.16,29.83
20090612,15.07,21.82,29.3
20090615,14.28,20.91,28.28
20090616,14.14,20.7,27.68
20090617,13.9,20.23,26.99
20090618,14.14,20.26,26.95
20090619,14.23,20.56,26.77
20090622,13.53,19.35,25.19
20090623,13.5,19.45,25.51
20090624,13.78,19.92,25.81
20090625,14.14,20.48,26.62
20090626,14.28,20.46,27.29
20090629,14.44,20.73,26.59
20090630,14.27,20.3,26.41
20090701,14.34,20.61,26.46
20090702,13.69,20.14,25.51
20090706,13.59,19.73,24.89
20090707,13.12,19.18,24.29
20090708,13.02,18.75,24.13
20090709,13.22,19.12,24.54
20090710,13.19,18.91,24.38
20090713,13.32,19.41,24.89
20090714,13.88,20,25.37
20090715,14.69,20.92,26.43
20090716,14.82,21.11,26.75
20090717,14.75,21.29,27.03
20090720,15.28,21.82,27.68
20090721,15.19,21.72,27.85
20090722,15.16,21.82,27.65
20090723,15.5,22.57,28.49
20090724,15.45,22.7,28.73
20090727,15.69,22.87,28.73
20090728,15.76,22.46,28.19
20090729,15.5,22.03,27.42
20090730,16.08,22.64,28.01
20090731,16.4,23.08,28.43
20090803,16.91,23.72,29.56
20090804,16.9,23.59,29.36
20090805,16.73,23.63,29.09
20090806,16.85,23.05,28.74
20090807,16.94,23,28.77
20090810,16.72,22.73,28.67
20090811,16.55,22.07,28.15
20090812,17,22.4,28.55
20090813,17.59,22.74,29.1
20090814,17.08,22.5,28.51
20090817,16.59,21.65,27.47
20090818,16.94,21.98,27.91
20090819,17.03,22.21,28.33
20090820,16.97,22.39,28.58
20090821,16.96,22.81,29.51
20090824,17.38,22.83,29.61
20090825,17.4,22.95,29.23
20090826,17.21,22.8,29.13
20090827,17.63,23.07,29.2
20090828,17.84,23.03,29.32
20090831,17.74,22.66,28.64
20090901,17.32,22.05,28.01
20090902,17.27,22.07,28.17
20090903,17.66,22.72,28.56
20090904,18,23.13,29.1
20090908,18.59,23.5,29.85
20090909,18.66,23.33,29.81
20090910,18.94,23.68,30.5
20090911,18.9,23.89,30.86
20090914,18.79,24.04,31.03
20090915,18.79,24.65,31.6
20090916,19.79,24.93,32.37
20090917,19.5,24.83,32.06
20090918,19.52,24.78,31.86
20090921,19.29,24.32,31.53
20090922,19.68,24.92,32.16
20090923,19.64,24.58,31.43
20090924,19.26,23.81,30.67
20090925,19.47,23.56,30.55
20090928,19.83,23.93,31.08
20090929,19.93,24.04,31.17
20090930,20.07,24.36,31.08
20091001,19.25,23.3,29.93
20091002,18.91,23.16,29.77
20091005,19.34,23.71,30.61
20091006,19.83,24.24,31.54
20091007,20.1,24.41,31.77
20091008,20.95,24.93,32.67
20091009,20.84,24.99,32.71
20091012,20.91,25.21,33.09
20091013,20.9,25.16,33.18
20091014,21.62,25.68,33.75
20091015,21.79,25.44,34.2
20091016,21.51,25.38,34.08
20091019,21.84,25.67,34.53
20091020,21.58,25.13,34.12
20091021,21.56,24.95,34.01
20091022,21.88,25.15,34.08
20091023,21.62,24.72,33.34
20091026,21.28,23.99,32.52
20091027,20.99,23.59,32.52
20091028,19.93,22.75,31.19
20091029,20.39,23.53,32.36
20091030,19.4,22.73,30.93
20091102,19.75,22.83,31.21
20091103,19.6,23.34,31.89
20091104,19.78,23.52,31.95
20091105,20,23.8,32.47
20091106,20.4,23.78,32.44
20091109,21.43,24.8,33.45
20091110,21.5,24.78,33.43
20091111,21.6,24.89,33.43
20091112,21.12,24.46,32.63
20091113,21.58,24.75,32.91
20091116,21.97,24.99,33.77
20091117,21.6,25.26,33.76
20091118,21.49,25.2,33.57
20091119,20.99,24.8,32.86
20091120,20.77,24.65,32.5
20091123,21.26,25.13,33.02
20091124,20.88,24.9,33.07
20091125,21.46,25.36,33.6
20091127,20.29,24.57,33.19
20091130,20.8,24.79,32.71
20091201,21.37,25.61,33.32
20091202,21.35,25.62,33.33
20091203,21.09,25.13,32.27
20091204,20.99,24.79,32.26
20091207,20.6,24.86,32.11
20091208,20.14,24.28,31.32
20091209,20.28,24.55,31.62
20091210,20.54,24.76,32.03
20091211,20.43,24.49,31.96
20091214,20.64,24.89,32.54
20091215,20.3,24.77,32.59
20091216,20.21,25.02,32.96
20091217,19.86,24.47,32.37
20091218,20,24.58,32.53
20091221,19.74,24.73,32.92
20091222,19.86,25.06,33.12
20091223,20.16,25.39,33.6
20091224,20.61,25.5,33.74
20091228,20.66,25.62,33.76
20091229,20.89,25.57,33.55
20091230,20.88,25.31,33.39
20091231,20.92,25.45,33.2
20100104,21.8,26.04,34.34
20100105,21.87,26.19,34.7
20100106,21.96,26.4,35.16
20100107,21.85,26.31,34.97
20100108,22.13,26.45,35.29
20100111,22.37,26.37,35.21
20100112,21.57,25.89,34.39
20100113,21.93,26.16,34.83
20100114,22.23,26.24,34.75
20100115,21.72,25.84,34.28
20100119,22.07,25.87,34.78
20100120,21.36,25.26,33.84
20100121,20.58,24.72,32.98
20100122,20.12,24.2,32.24
20100125,20.46,24.27,32.5
20100126,20.06,24.19,32.09
20100127,19.96,24.07,31.96
20100128,19.76,23.81,31.61
20100129,19.18,23.56,30.9
20100201,19.69,24.02,32.18
20100202,19.84,24.32,32.51
20100203,19.57,24.21,32.11
20100204,18.55,23.45,30.69
20100205,18.67,23.63,30.97
20100208,18.54,23.37,30.48
20100209,19.14,23.85,31.29
20100210,19.01,24.04,31.12
20100211,19.74,24.61,31.85
20100212,19.36,24.62,31.81
20100216,20.22,25.2,32.76
20100217,20.46,25.23,32.61
20100218,20.63,25.54,32.98
20100219,20.46,25.56,33.06
20100222,20.76,25.4,32.47
20100223,20.3,24.74,31.77
20100224,20.42,24.84,31.96
20100225,19.9,24.95,32.05
20100226,20.22,25.03,32.3
20100301,20.85,25.56,32.73
20100302,20.97,25.95,33.12
20100303,21.23,26.15,33.28
20100304,21.1,26.07,32.92
20100305,21.69,26.48,33.68
20100308,21.56,26.54,33.52
20100309,21.8,26.48,33.52
20100310,21.88,26.53,33.69
20100311,21.81,26.63,33.69
20100312,21.8,26.81,33.79
20100315,21.55,26.77,33.25
20100316,21.97,27.17,33.84
20100317,22.24,27.31,34.18
20100318,22.06,27.04,33.58
20100319,21.83,26.85,33.1
20100322,21.99,26.79,33.09
20100323,22.33,27.04,33.31
20100324,21.84,26.59,32.9
20100325,21.9,26.64,32.28
20100326,21.91,26.6,32.31
20100329,22.3,26.94,33.04
20100330,22.34,27.03,33.13
20100331,22.09,27.03,33.34
20100401,22.55,27.54,34.14
20100405,22.7,27.75,34.84
20100406,22.86,27.73,34.82
20100407,22.68,27.49,34.58
20100408,22.67,27.58,34.81
20100409,22.87,27.74,35.09
20100412,22.79,27.69,35.08
20100413,22.74,27.6,34.92
20100414,23.2,27.9,35.32
20100415,23.15,27.86,35.27
20100416,22.56,27.19,34.51
20100419,22.4,27.23,34.44
20100420,22.75,27.76,35.2
20100421,22.63,27.69,35.13
20100422,22.46,27.77,35.26
20100423,22.37,27.89,36.07
20100426,22.32,27.97,35.99
20100427,21.43,27.16,34.9
20100428,21.83,27.23,35.33
20100429,22.04,27.74,35.54
20100430,21.52,27.35,35.15
20100503,21.81,27.58,35.41
20100504,20.57,26.75,34.44
20100505,20.38,26.26,33.73
20100506,18.89,25.51,32.55
20100507,18.92,25.48,32.07
20100510,20.51,26.63,33.63
20100511,20,26.79,33.64
20100512,20.16,27.28,34.19
20100513,20.03,26.98,33.82
20100514,19.29,26.48,33.19
20100517,19.08,26.16,32.75
20100518,18.52,25.93,32.45
20100519,17.81,25.61,31.91
20100520,16.55,24.32,30.4
20100521,17.37,24.8,31.01
20100524,17.33,24.5,30.36
20100525,17.18,24.55,30.62
20100526,17.02,24.59,30.57
20100527,18.32,25.51,32.01
20100528,18.19,25.29,31.49
20100601,17.56,24.98,30.21
20100602,18.14,25.84,31.68
20100603,18.2,25.79,31.87
20100604,17.16,24.82,30.65
20100607,16.73,24.6,30.37
20100608,17.51,25.03,30.93
20100609,17.56,24.91,30.66
20100610,18.6,25.71,32.13
20100611,18.71,25.71,32.37
20100614,18.86,25.78,32.2
20100615,19.31,26.5,33.13
20100616,19.17,26.55,33.14
20100617,19.12,26.55,33.13
20100618,19.31,26.74,33.43
20100621,19.54,26.63,33.21
20100622,19.14,26.2,32.27
20100623,19.03,25.77,32.13
20100624,18.61,25.32,31.4
20100625,18.73,25.55,31.78
20100628,18.45,25.37,31.31
20100629,17.49,24.15,30.13
20100630,17.27,23.99,29.91
20100701,17.28,23.73,29.66
20100702,17.27,23.73,29.55
20100706,17.57,23.94,29.77
20100707,18.17,24.56,30.87
20100708,18.64,24.77,31.2
20100709,18.79,25.33,31.53
20100712,18.65,25.26,31.36
20100713,18.91,25.56,31.83
20100714,19.02,25.43,31.66
20100715,19,25.59,31.65
20100716,18.33,24.8,30.66
20100719,18.39,24.7,30.84
20100720,19.08,25.18,31.59
20100721,18.61,24.77,31.18
20100722,19.25,25.35,31.96
20100723,19.6,25.51,32.11
20100726,19.9,25.7,32.4
20100727,19.82,25.56,32.02
20100728,19.67,25.46,31.87
20100729,19.85,25.64,31.91
20100730,19.84,25.78,31.97
20100802,20.55,26.26,32.99
20100803,20.31,26.11,32.91
20100804,20.54,26.35,33.19
20100805,20.37,26.21,33.22
20100806,20.36,26,32.95
20100809,20.57,26.1,33.05
20100810,20.18,25.95,32.83
20100811,19.18,25.02,31.67
20100812,19.13,24.92,31.62
20100813,19.29,24.89,31.44
20100816,19.52,24.85,31.52
20100817,19.9,25.58,32.16
20100818,19.75,25.8,32.03
20100819,19.33,25.43,31.48
20100820,19.39,25.21,31.13
20100823,19.19,25.06,31
20100824,18.7,24.55,30.44
20100825,18.65,24.69,30.45
20100826,18.74,24.76,30.34
20100827,19.46,25.44,31.22
20100830,19.31,25.33,30.84
20100831,19.35,25.22,30.77
20100901,20.52,25.76,31.79
20100902,20.54,25.98,32.13
20100903,20.71,26.35,32.48
20100907,20.51,26.13,32.05
20100908,20.72,26.24,32.25
20100909,21.04,26.31,32.22
20100910,20.99,26.36,32.54
20100913,21.52,26.73,32.87
20100914,21.71,26.81,32.86
20100915,21.7,26.72,32.77
20100916,21.49,26.79,32.72
20100917,21.41,26.66,32.58
20100920,21.93,26.9,33.06
20100921,21.83,26.83,33.02
20100922,21.85,26.61,32.88
20100923,21.62,26.42,32.61
20100924,22.24,26.92,33.33
20100927,22.27,26.78,33.18
20100928,22.67,26.93,33.52
20100929,22.42,27.01,33.81
20100930,22.03,27.15,33.81
20101001,22.28,27.45,34.29
20101004,22.07,27.27,33.8
20101005,22.61,27.84,34.72
20101006,22.82,28.02,35.03
20101007,22.76,27.67,34.68
20101008,23.15,28.03,35.22
20101011,23.02,28.12,35.28
20101012,22.8,28.13,35.25
20101013,22.97,28.52,35.82
20101014,23.18,28.39,35.68
20101015,23.13,28.2,35.63
20101018,23.05,28.13,35.8
20101019,22.2,27.53,34.69
20101020,22.76,27.93,35.13
20101021,22.49,27.76,34.92
20101022,22.63,27.71,35.14
20101025,23.17,28,35.38
20101026,22.95,27.93,35.4
20101027,22.5,27.59,35.14
20101028,22.75,27.72,35.21
20101029,22.76,28.04,35.37
20101101,22.93,28.15,35.51
20101102,23.47,28.34,35.95
20101103,23.68,28.4,35.95
20101104,24.53,29.05,37.29
20101105,24.56,29.13,37.45
20101108,24.31,29.27,37.76
20101109,23.75,28.97,37.47
20101110,23.86,29.18,38.01
20101111,23.57,29.08,38.36
20101112,23.08,28.51,37.65
20101115,23.1,28.49,37.41
20101116,22.61,27.77,36.54
20101117,22.61,27.84,36.68
20101118,23.11,28.36,37.48
20101119,22.91,28.67,37.86
20101122,22.88,28.67,37.84
20101123,22,28.17,37.12
20101124,22.61,28.74,37.77
20101126,21.94,28.5,37.26
20101129,22.21,28.56,37.47
20101130,21.81,28.45,37.4
20101201,22.46,29.16,38.5
20101202,23.03,29.56,39.2
20101203,23.34,29.62,39.56
20101206,23.19,29.68,39.84
20101207,23.23,29.53,39.59
20101208,23.07,29.33,39.2
20101209,23.3,29.39,39.37
20101210,23.49,29.62,39.58
20101213,23.79,29.77,39.96
20101214,23.91,29.75,39.83
20101215,23.43,29.69,39.47
20101216,23.7,29.58,39.59
20101217,23.58,29.5,39.62
20101220,23.58,29.35,39.93
20101221,23.85,29.66,40.33
20101222,24,29.78,40.46
20101223,24.11,29.94,40.55
20101227,24.08,29.9,40.35
20101228,24.15,30.11,40.65
20101229,24.34,30.39,41.03
20101230,24.33,30.37,41.07
20101231,24.35,30.44,41.16
20110103,24.5,30.69,41.39
20110104,23.84,30.36,40.95
20110105,23.67,30.42,40.99
20110106,23.42,30.27,40.45
20110107,23.33,30.29,40.61
20110110,23.36,30.17,40.56
20110111,23.32,30.62,41.29
20110112,23.62,30.88,41.72
20110113,23.79,30.68,41.42
20110114,23.8,30.76,41.62
20110118,24.01,30.93,41.99
20110119,23.99,30.57,41.42
20110120,23.57,30.29,41.03
20110121,23.55,30.36,41.05
20110124,23.94,30.44,41.23
20110125,23.82,30.16,40.96
20110126,24.01,30.68,42.1
20110127,23.94,30.63,41.72
20110128,23.48,30.45,41.72
20110131,23.78,30.73,42.73
20110201,24.28,31.36,43.42
20110202,24.2,31.41,43.39
20110203,24.54,31.65,43.56
20110204,24.77,31.65,43.3
20110207,24.86,31.63,43.47
20110208,25.01,31.67,43.51
20110209,24.88,31.45,42.89
20110210,24.77,31.56,43.21
20110211,24.7,31.66,43.2
20110214,24.94,31.92,44.11
20110215,24.68,31.91,43.89
20110216,24.93,32.39,44.51
20110217,25.22,32.55,44.99
20110218,25.18,32.55,45.03
20110222,24.23,32.04,44.39
20110223,24.33,32.09,45.15
20110224,24.44,32.05,44.45
20110225,24.94,32.62,45.31
20110228,25.02,33.11,45.77
20110301,24.44,32.91,45.15
20110302,24.75,33.07,45.4
20110303,25.02,33.33,45.87
20110304,24.86,33.42,45.79
20110307,24.45,32.97,45.33
20110308,24.64,32.84,44.9
20110309,24.47,32.66,44.52
20110310,23.59,31.79,42.89
20110311,23.88,32.03,43.61
20110314,23.62,31.89,43.7
20110315,22.91,31.36,43.36
20110316,22.36,31.07,42.65
20110317,22.65,31.75,43.94
20110318,23.31,31.92,43.94
20110321,23.86,32.62,45.18
20110322,23.86,32.59,45.14
20110323,24.06,32.69,45.33
20110324,24.57,32.75,45.42
20110325,24.68,32.57,45.7
20110328,24.66,32.32,45.46
20110329,25.07,32.51,45.98
20110330,25.45,32.98,46.42
20110331,25.53,33.05,46.38
20110401,25.84,33.37,46.46
20110404,25.81,33.44,46.57
20110405,25.78,33.64,46.94
20110406,26.21,33.65,46.48
20110407,26.19,33.41,46.47
20110408,26.47,33.73,46.77
20110411,26.53,33.2,45.72
20110412,26,32.56,44.39
20110413,26.21,32.61,44.43
20110414,26.27,32.63,44.71
20110415,26.14,32.55,45
20110418,25.78,32.2,44.29
20110419,25.82,32.55,44.84
20110420,26.62,33.02,45.73
20110421,26.95,33.28,46.06
20110425,26.98,33.06,45.67
20110426,27.13,33.16,45.91
20110427,27.19,33.17,46.02
20110428,27.26,33.15,45.96
20110429,27.18,33.14,46.66
20110502,26.84,33.25,46.01
20110503,26.41,32.59,44.8
20110504,25.73,32.2,44.02
20110505,25.32,31.48,42.96
20110506,25.79,31.72,43.19
20110509,26.1,32.09,43.97
20110510,26.24,32.23,44.15
20110511,25.7,31.58,42.77
20110512,25.54,31.48,42.69
20110513,25.12,31.21,42.39
20110516,25.11,31.2,42.13
20110517,25.32,31.35,42.15
20110518,25.56,31.84,42.95
20110519,25.79,31.91,43
20110520,25.53,31.78,42.99
20110523,24.68,31.2,42.27
20110524,24.86,31.53,42.9
20110525,24.77,31.86,43.6
20110526,25.21,31.99,43.86
20110527,25.45,32.02,44.09
20110531,25.63,32.34,44.46
20110601,25.01,31.41,43.28
20110602,24.98,31.38,43.24
20110603,24.8,31.29,43.21
20110606,24.69,30.76,42.24
20110607,24.89,30.8,42.24
20110608,24.42,30.52,42.15
20110609,24.76,30.83,42.71
20110610,24.24,30.28,41.85
20110613,24.31,30.15,41.19
20110614,24.97,30.71,42.08
20110615,24.25,30.07,41.22
20110616,24.02,29.74,41.01
20110617,24.32,29.68,40.94
20110620,24.14,29.77,40.95
20110621,24.59,30.49,41.98
20110622,24.39,30.43,41.91
20110623,24.25,30.08,41.59
20110624,23.99,29.65,40.84
20110627,23.95,29.8,40.96
20110628,24.44,30.32,42.08
20110629,24.83,30.9,42.72
20110630,25.4,31.32,43.31
20110701,25.59,31.55,43.68
20110705,25.16,31.64,44.12
20110706,24.99,31.49,44.04
20110707,25.43,31.68,44.63
20110708,25.3,31.59,44.28
20110711,24.57,30.92,43.19
20110712,24.21,31.05,43.2
20110713,24.68,31.48,43.69
20110714,24.35,31.24,43.38
20110715,24.2,31.61,44.55
20110718,23.95,31.25,44.35
20110719,24.54,31.75,45.02
20110720,24.83,31.89,45.07
20110721,25.25,32.24,45.73
20110722,25.43,32.26,46.01
20110725,25.09,32.22,45.85
20110726,25.33,31.94,45.64
20110727,25.03,31.05,44.56
20110728,24.81,31.01,44.3
20110729,24.56,30.59,43.79
20110801,24.59,30.65,43.77
20110802,23.83,29.89,42.67
20110803,23.56,30.04,42.53
20110804,21.85,28.58,39.47
20110805,21.63,28.08,39.02
20110808,19.84,26.53,35.99
20110809,21.84,28.03,37.96
20110810,20.78,27.58,36.98
20110811,22.06,28.72,38.65
20110812,22.19,28.67,38.89
20110815,23.16,29.34,40.13
20110816,22.67,28.91,39.37
20110817,23.08,29.09,39.58
20110818,21.96,27.88,37.33
20110819,21.68,27.45,36.74
20110822,21.71,27.55,36.64
20110823,22.74,28.27,37.95
20110824,22.63,28.41,38.07
20110825,22.25,28.17,37.4
20110826,22.82,28.35,38.22
20110829,23.49,28.94,39.27
20110830,23.47,29.2,39.6
20110831,23.69,29.54,39.84
20110901,23.44,29.5,39.55
20110902,22.83,28.97,38.68
20110906,22.29,28.62,38.33
20110907,23.18,29.19,39.62
20110908,22.67,28.99,39.29
20110909,21.93,28.09,37.97
20110912,21.59,27.64,37.79
20110913,21.64,27.91,38
20110914,21.44,27.97,38.37
20110915,21.83,28.54,39.01
20110916,22.01,28.33,38.94
20110919,21.37,27.75,38.27
20110920,21.24,27.73,38.04
20110921,20.44,26.73,36.46
20110922,19.28,25.29,34.21
20110923,19.42,25.08,33.62
20110926,19.95,25.68,34.77
20110927,20.59,26.17,35.28
20110928,20.02,25.41,33.85
20110929,20.1,25.57,34.11
20110930,19.41,25.14,33.22
20111003,18.75,24.21,31.94
20111004,19.19,24.01,32.71
20111005,19.76,25.07,34.05
20111006,20.65,25.84,34.92
20111007,20.78,25.4,34.29
20111010,21.77,26.43,35.89
20111011,21.72,26.24,35.88
20111012,22.12,26.85,36.25
20111013,22.2,26.48,36.11
20111014,22.67,27.16,37.52
20111017,22.03,26.46,36.69
20111018,22.37,26.9,37.76
20111019,21.95,26.32,37.02
20111020,21.89,26.39,37.19
20111021,22.37,26.88,37.95
20111024,23.11,27.49,38.77
20111025,22.47,27,38.03
20111026,22.8,27.51,38.81
20111027,24.51,28.6,40.57
20111028,24.22,28.64,41
20111031,23.09,27.89,39.23
20111101,22.21,26.97,38
20111102,22.49,27.33,39.12
20111103,22.97,28.04,40.18
20111104,22.86,27.7,40.15
20111107,23.02,27.89,40.48
20111108,23.32,28.06,40.95
20111109,22.11,26.94,39.1
20111110,22.48,26.96,39.57
20111111,23.15,27.53,40.44
20111114,22.59,27.23,39.95
20111115,22.64,27.07,39.96
20111116,22.13,26.93,39.43
20111117,21.65,26.21,38.29
20111118,21.61,26.25,38.09
20111121,20.92,25.64,37.34
20111122,20.93,25.66,37.12
20111123,20.17,24.91,35.86
20111125,20.05,24.61,35.58
20111128,20.98,25.39,36.9
20111129,21.24,25.79,37.43
20111130,22.61,27.11,39.69
20111201,22.39,27.05,39.48
20111202,22.66,26.84,39.33
20111205,23.04,27.06,39.71
20111206,22.75,27.07,39.8
20111207,22.88,27.23,39.52
20111208,22.11,26.4,38.22
20111209,22.5,26.76,39.11
20111212,21.79,26.2,38.04
20111213,21.52,25.68,37.43
20111214,21.22,25.08,36.28
20111215,21.24,25.09,36.12
20111216,21.24,25.41,36.63
20111219,20.71,25.05,35.78
20111220,21.46,25.62,37.2
20111221,21.47,25.86,37.56
20111222,21.67,26.28,37.98
20111223,21.79,26.4,38.24
20111227,21.75,26.31,38.17
20111228,21.11,25.9,37.32
20111229,21.45,26.19,37.77
20111230,21.44,26.6,37.92
20120103,22.08,27.4,39.14
20120104,22.34,27.35,39.31
20120105,22.05,27.18,39.08
20120106,21.76,26.9,38.86
20120109,21.83,26.98,38.99
20120110,22.25,27.33,39.5
20120111,22.38,27.2,39.11
20120112,22.48,27.34,38.95
20120113,22.3,27.13,38.59
20120117,22.48,27.29,38.76
20120118,22.88,27.63,39.44
20120119,22.84,27.79,39.51
20120120,22.94,27.75,39.42
20120123,23.02,28.24,39.89
20120124,22.84,27.86,39.69
20120125,23.43,28.35,40.52
20120126,23.5,28.19,40.13
20120127,23.6,28.26,40.26
20120130,23.37,28.07,39.99
20120131,23.42,28.11,39.84
20120201,23.66,28.36,40.06
20120202,23.67,28.46,40.35
20120203,24.02,28.78,40.91
20120206,23.87,28.61,41.19
20120207,23.86,28.5,41.29
20120208,23.9,28.51,41.15
20120209,23.88,28.44,41.18
20120210,23.27,28,40.68
20120213,23.65,28.14,40.88
20120214,23.33,28.03,40.86
20120215,23.26,28.09,40.86
20120216,23.37,28.48,41.55
20120217,23.19,28.38,41.57
20120221,23.52,28.75,41.97
20120222,23.48,28.87,42.09
20120223,23.72,29,42.44
20120224,23.76,28.9,42.46
20120227,23.8,28.85,42.27
20120228,23.81,29.1,42.31
20120229,23.75,29.02,41.7
20120301,23.9,29.32,42.19
20120302,23.72,29.05,41.61
20120305,23.51,28.63,41.09
20120306,22.74,27.91,40.25
20120307,22.87,27.99,40.58
20120308,23.2,28.48,41.02
20120309,23.15,28.59,41.09
20120312,22.96,28.34,40.6
20120313,23.45,28.79,41.1
20120314,23.18,28.32,40.46
20120315,23.48,28.53,40.62
20120316,23.62,28.72,41.09
20120319,23.73,28.76,41.32
20120320,23.22,28.53,40.68
20120321,23.11,28.55,40.35
20120322,22.88,28.11,39.4
20120323,23.2,28.37,39.9
20120326,23.56,28.87,40.21
20120327,23.35,28.63,39.79
20120328,23.38,28.36,39.17
20120329,23.39,28.3,39.1
20120330,23.51,28.34,39.42
20120402,23.63,28.8,39.88
20120403,23.26,28.37,39.48
20120404,22.98,27.87,38.75
20120405,23.12,27.71,38.46
20120409,22.93,27.46,38
