Date,GLD,USO
20060426,63.65,69.54
20060427,62.96,68.7
20060428,65.09,69.62
20060501,65.16,71.5
20060502,66.55,72.34
20060503,66.46,70.22
20060504,67.48,68.32
20060505,67.99,68
20060508,67.56,67.88
20060509,69.68,68.4
20060510,70.38,69.77
20060511,71.03,70.3
20060512,71.12,69.11
20060515,67.41,66.63
20060516,68.61,66.7
20060517,68.15,65.7
20060518,67.46,66.74
20060519,65.58,65.57
20060522,65.3,66.28
20060523,66.38,67.77
20060524,64.06,66.1
20060525,64.7,67.8
20060526,65.1,67.75
20060530,65.11,68.32
20060531,64.23,67.73
20060601,62.56,66.82
20060602,63.5,68.9
20060605,63.29,68.74
20060606,62.55,68.76
20060607,62.28,67.28
20060608,60.91,67.12
20060609,60.45,68.07
20060612,60.03,67.08
20060613,55.92,65.18
20060614,55.62,65.79
20060615,57.32,66.16
20060616,57.68,66.25
20060619,56.36,65.54
20060620,57.3,65.29
20060621,58.33,66.35
20060622,57.73,67
20060623,57.99,66.89
20060626,58.28,67.7
20060627,57.68,68.08
20060628,57.54,68.31
20060629,59.52,69.51
20060630,61.23,69.77
20060703,62.18,69.93
20060705,62.5,71
20060706,63.02,70.77
20060707,62.63,69.85
20060710,62.02,69.56
20060711,63.81,70.08
20060712,64.92,71.14
20060713,65.55,73.25
20060714,65.85,73.22
20060717,63.95,71.65
20060718,62.9,70.75
20060719,64.03,69.85
20060720,62.54,69.1
20060721,61.71,69.52
20060724,61.14,70.17
20060725,61.55,69
20060726,62,69.17
20060727,62.9,69.68
20060728,63.11,68.5
20060731,63.16,69.52
20060801,64.32,70.15
20060802,64.75,71.12
20060803,64.12,70.56
20060804,64.28,69.81
20060807,64.5,72
20060808,63.97,71.3
20060809,64.63,71.17
20060810,63.25,69.6
20060811,62.71,69.73
20060814,62.25,68.59
20060815,62.01,68.21
20060816,62.49,67.1
20060817,61.03,66.05
20060818,61.04,66.18
20060821,62.44,67.42
20060822,62.05,67.05
20060823,61.83,66
20060824,61.75,66.75
20060825,61.77,66.55
20060828,61,64.88
20060829,60.94,64.19
20060830,61.42,64.85
20060831,62.29,64.8
20060901,62.14,63.75
20060905,63.36,63.31
20060906,62.86,62.2
20060907,61.25,61.89
20060908,60.64,60.9
20060911,58.5,60.03
20060912,58.32,58.76
20060913,58.62,59
20060914,57.19,58.15
20060915,57.4,58.04
20060918,58.23,58.32
20060919,56.92,56.25
20060920,57.26,55.05
20060921,57.95,55.89
20060922,58.5,54.64
20060925,58.5,55.67
20060926,58.74,55.42
20060927,59.81,57.16
20060928,59.79,56.65
20060929,59.47,57
20061002,59.15,55.31
20061003,57.11,53.24
20061004,56.37,54.04
20061005,56.92,54.59
20061006,56.99,54.35
20061009,57.2,54.6
20061010,57,53.67
20061011,56.88,52.65
20061012,57.49,53.43
20061013,58.57,53.65
20061016,59.17,54.72
20061017,58.65,53.99
20061018,58.59,52.85
20061019,59.41,53.9
20061020,58.78,52.75
20061023,57.76,52.37
20061024,58.17,52.84
20061025,58.76,54.7
20061026,59.29,53.65
20061027,59.4,54
20061030,59.9,51.98
20061031,60.24,52.1
20061101,61.36,52.12
20061102,61.92,51.5
20061103,62.3,52.68
20061106,61.89,53.45
20061107,62.04,52.6
20061108,61.11,53.4
20061109,62.95,54.5
20061110,62.49,53.3
20061113,62.19,52.35
20061114,61.63,52.14
20061115,61.84,52.5
20061116,61.31,50.59
20061117,61.78,50.94
20061120,61.77,50.97
20061121,62.27,51.98
20061122,62.5,51.31
20061124,63.5,51.8
20061127,63.7,52.3
20061128,63.57,52.71
20061129,63.16,54.14
20061130,64.39,54.58
20061201,64.12,55.05
20061204,64.12,54.2
20061205,63.81,54.3
20061206,62.69,53.89
20061207,62.73,53.86
20061208,62.05,53.58
20061211,62.57,53
20061212,62.52,52.55
20061213,62.48,52.88
20061214,62.12,53.73
20061215,61,54.3
20061218,61.04,53.16
20061219,61.8,54
20061220,61.62,54.05
20061221,61.38,53.34
20061222,61.65,52.92
20061226,61.98,51.64
20061227,62.22,51.35
20061228,62.9,51.3
20061229,63.21,51.6
20070103,62.28,49.4
20070104,61.65,47.39
20070105,60.17,47.83
20070108,60.48,47.49
20070109,60.85,47.3
20070110,60.59,45.36
20070111,60.63,44.34
20070112,62.17,44.63
20070116,61.97,43.34
20070117,62.64,44.22
20070118,62.26,43.23
20070119,63,44.43
20070122,62.72,43.84
20070123,64.23,45.65
20070124,64.33,46.1
20070125,64.06,45.27
20070126,64.17,46.28
20070129,63.77,44.97
20070130,64.22,47.36
20070131,64.83,48.24
20070201,65.22,47.84
20070202,64.28,49.34
20070205,64.31,49.1
20070206,64.79,49.21
20070207,64.63,48.25
20070208,65.52,49.75
20070209,66.12,49.99
20070212,65.67,48.37
20070213,65.84,49.36
20070214,66.37,48.45
20070215,66.41,48.35
20070216,66.36,49.35
20070220,65.31,48.67
20070221,67.35,49.86
20070222,67.15,50.33
20070223,67.72,50.46
20070226,68.1,50.9
20070227,65.41,49.95
20070228,66.48,51.18
20070301,65.82,51.24
20070302,63.71,51.01
20070305,62.93,49.62
20070306,64.15,50.32
20070307,64.3,51.29
20070308,64.48,51.29
20070309,64.25,50.11
20070312,64.37,49.35
20070313,63.72,48.94
20070314,63.94,49.14
20070315,63.98,48.67
20070316,64.62,48.42
20070319,64.74,48.7
20070320,65.27,48.46
20070321,65.82,48.8
20070322,65.76,50.18
20070323,65.15,50.57
20070326,65.84,51.17
20070327,65.7,51.2
20070328,66.05,52
20070329,65.65,53.62
20070330,65.74,53.35
20070402,65.85,53.56
20070403,65.83,52.46
20070404,66.81,52.33
20070405,66.86,52.01
20070409,66.53,50.35
20070410,67.16,50.61
20070411,67.08,50.46
20070412,66.99,51.65
20070413,67.84,51.52
20070416,68.4,51.2
20070417,68,50.29
20070418,68.38,50.14
20070419,67.53,49.22
20070420,68.7,50.05
20070423,68.26,51.22
20070424,67.73,50.39
20070425,67.89,51.32
20070426,66.87,50.94
20070427,67.56,51.84
20070430,67.09,51.24
20070501,66.69,50.36
20070502,66.66,49.59
20070503,67.49,49.28
20070504,68.19,48.3
20070507,68.25,48.06
20070508,67.88,48.64
20070509,67.45,48.01
20070510,66,48.15
20070511,66.45,48.57
20070514,66.28,48.56
20070515,66.54,48.99
20070516,65.6,48.53
20070517,65.06,50.16
20070518,65.52,50.1
20070521,65.67,50.82
20070522,65.2,49.92
20070523,65.54,50.17
20070524,64.75,48.93
20070525,64.94,49.5
20070529,65.07,48.4
20070530,64.72,48.21
20070531,65.54,48.96
20070601,66.44,49.46
20070604,66.54,50.35
20070605,66.37,50.02
20070606,66.41,50.31
20070607,65.26,50.65
20070608,64.22,49.06
20070611,64.7,49.84
20070612,64.1,49.56
20070613,64.53,50.09
20070614,64.6,51.1
20070615,64.85,51.53
20070618,64.95,52.14
20070619,65.48,52.12
20070620,64.71,51.55
20070621,64.56,51.6
20070622,64.78,51.89
20070625,64.43,51.96
20070626,63.62,51.12
20070627,63.67,51.88
20070628,64.26,52.47
20070629,64.27,53
20070702,65.02,53.53
20070703,64.74,53.54
20070705,64.42,54.15
20070706,64.96,54.68
20070709,65.38,54.35
20070710,65.61,54.72
20070711,65.44,54.66
20070712,66.02,54.74
20070713,66.03,55.54
20070716,65.82,55.76
20070717,65.75,55.64
20070718,66.62,56.58
20070719,67.01,57.08
20070720,67.58,57
20070723,67.47,56.38
20070724,67.47,55.16
20070725,66.9,57.44
20070726,65.65,56.22
20070727,65.41,57.74
20070730,65.77,57.5
20070731,65.79,58.53
20070801,65.93,57.76
20070802,65.89,57.7
20070803,66.69,56.44
20070806,66.52,54.2
20070807,66.48,54.36
20070808,66.77,54.27
20070809,65.46,53.78
20070810,66.57,53.64
20070813,66.26,53.85
20070814,66.29,54.23
20070815,66.13,55.13
20070816,64.68,53.58
20070817,65.01,54.03
20070820,65.12,53.54
20070821,65.07,52.43
20070822,65.4,52.35
20070823,65.31,52.65
20070824,66.11,53.64
20070827,65.98,54.33
20070828,65.59,54.03
20070829,66.07,55.55
20070830,65.8,55.5
20070831,66.52,55.78
20070904,67.44,56.75
20070905,67.56,57.26
20070906,68.86,57.63
20070907,69.39,57.76
20070910,69.62,58.79
20070911,70.52,58.96
20070912,70.46,60
20070913,70.08,60.17
20070914,69.99,59.79
20070917,70.97,60.67
20070918,71.7,62.05
20070919,71.43,61.82
20070920,72.72,62.65
20070921,72.34,62.14
20070924,72.28,61.82
20070925,72.33,61.07
20070926,72,61.7
20070927,72.7,63.44
20070928,73.51,62.55
20071001,73.9,61.59
20071002,72.35,61.63
20071003,71.9,61.29
20071004,72.87,62.61
20071005,73.4,62.28
20071008,72.53,60.76
20071009,73.09,61.4
20071010,73.36,62.4
20071011,73.91,63.59
20071012,74.59,64
20071015,75.14,65.89
20071016,75.12,66.98
20071017,74.5,66.63
20071018,76,68.17
20071019,75.7,67.14
20071022,74.6,66.54
20071023,75.23,65.83
20071024,75.52,67.98
20071025,76.03,70.12
20071026,77.69,71.17
20071029,78.12,72.5
20071030,77.35,69.54
20071031,78.62,73.27
20071101,77.93,72.17
20071102,79.83,74.35
20071105,79.75,73.54
20071106,81.43,75.34
20071107,82.24,74.48
20071108,82.23,74.08
20071109,82.18,74.77
20071112,78.3,72.77
20071113,79.12,70.93
20071114,80.28,72.6
20071115,77.95,72.3
20071116,77.75,73.9
20071119,77.24,74.49
20071120,79.47,77.34
20071121,79.36,76.44
20071123,81.25,76.76
20071126,81.3,76.25
20071127,80.1,74.3
20071128,79.57,71.8
20071129,78.28,71.64
20071130,77.32,69.91
20071203,78.28,70.7
20071204,79.4,69.4
20071205,78.63,68.69
20071206,79.37,71.02
20071207,78.6,69.43
20071210,80,69.36
20071211,78.84,70.26
20071212,80.49,73.9
20071213,78.5,73.17
20071214,78.52,72.26
20071217,78.13,71.89
20071218,79.25,71.11
20071219,79.24,72.15
20071220,78.67,72.1
20071221,80.1,73.8
20071224,80.14,73.95
20071226,81.52,75.91
20071227,81.56,76.25
20071228,83,75.89
20071231,82.46,75.76
20080102,84.86,78.47
20080103,85.57,78.37
20080104,85.13,77.31
20080107,84.77,75.5
20080108,86.78,76.06
20080109,86.55,75.25
20080110,88.25,74.02
20080111,88.58,73.09
20080114,89.54,74.25
20080115,87.99,72.78
20080116,86.7,71.85
20080117,86.5,71.03
20080118,87.42,71.54
20080122,88.17,70.55
20080123,87.89,69.5
20080124,90.08,70.93
20080125,90.3,71.91
20080128,91.75,72.35
20080129,91.15,72.98
20080130,92.06,73.08
20080131,91.4,72.35
20080201,89.35,70.47
20080204,89.1,71.37
20080205,87.68,70.15
20080206,88.95,69.02
20080207,89.85,69.8
20080208,91,72.9
20080211,91.33,74.55
20080212,89.33,73.59
20080213,89.44,74.11
20080214,89.71,75.76
20080215,89.15,75.93
20080219,91.58,78.81
20080220,93.24,79.32
20080221,93.25,77.33
20080222,93.39,78.6
20080225,92.74,78.74
20080226,93.71,80.1
20080227,94.78,78.92
20080228,95.99,81.48
20080229,96.18,80.42
20080303,97.24,81.32
20080304,95.18,79.4
20080305,97.72,83.3
20080306,96.5,83.89
20080307,96.09,83.73
20080310,95.87,85.63
20080311,95.99,86.34
20080312,97.01,86.92
20080313,98.34,87.21
20080314,98.71,86.51
20080317,99.17,83.3
20080318,96.5,85.8
20080319,93.04,82.29
20080320,89.91,81.3
20080324,90.1,80.26
20080325,92.73,81.47
20080326,93.8,84.81
20080327,93.46,85.73
20080328,91.88,84.37
20080331,90.41,81.36
20080401,86.86,81.06
20080402,89.27,83.78
20080403,89.42,83.65
20080404,90.25,84.88
20080407,91.17,86.93
20080408,90.35,87.19
20080409,92.29,88.9
20080410,91.77,88.18
20080411,91.3,88.48
20080414,91.11,89.64
20080415,91.66,91.44
20080416,93.27,92.15
20080417,92.56,92.37
20080418,90.62,93.79
20080421,90.25,94.38
20080422,90.27,95.08
20080423,89.22,95.18
20080424,87.22,93.2
20080425,87.27,95.66
20080428,87.69,95.69
20080429,85.81,92.99
20080430,86.65,92.5
20080501,83.99,90.38
20080502,84.58,93.4
20080505,86.27,96.74
20080506,86.63,98.38
20080507,85.82,99.8
20080508,87.24,100.66
20080509,87.42,102.12
20080512,86.99,100.11
20080513,85.39,101.71
20080514,85.2,100.22
20080515,87,100.21
20080516,89.1,102.27
20080519,89.39,102.8
20080520,90.9,104.3
20080521,91.96,108.31
20080522,90.98,105.63
20080523,91.23,106.95
20080527,89.36,104.26
20080528,89.14,105.92
20080529,86.51,102.26
20080530,87.45,103.06
20080602,87.96,103.05
20080603,86.88,100.65
20080604,86.65,98.98
20080605,86.45,103.95
20080606,89.06,112.17
20080609,87.99,109.05
20080610,85.55,107.02
20080611,87.02,110.99
20080612,85.6,111.27
20080613,85.83,109.2
20080616,87.01,108.99
20080617,87.25,108.68
20080618,88.28,110.89
20080619,88.42,106.91
20080620,88.95,109.14
20080623,87.09,110.92
20080624,87.47,110.95
20080625,87.42,108.5
20080626,90.61,113.12
20080627,91.47,113.75
20080630,91.4,113.66
20080701,92.66,114.59
20080702,93.17,116.84
20080703,92.06,116.82
20080707,91.23,114.95
20080708,90.86,109.92
20080709,91.5,109.65
20080710,93.53,114.34
20080711,95.16,117.39
20080714,95.91,117.48
20080715,96.17,112.39
20080716,94.44,109.25
20080717,94.22,105.53
20080718,94.17,104.44
20080721,95.12,106.67
20080722,93.06,103.32
20080723,90.57,100.02
20080724,91.33,101.46
20080725,91.69,99.27
20080728,91.73,100.54
20080729,90.59,98.04
20080730,89.52,102.13
20080731,90.08,99.99
20080801,89.57,101.04
20080804,88.14,97.52
20080805,86.08,95.59
20080806,86.64,95.42
20080807,86.09,96.44
20080808,84.43,92.68
20080811,81.13,92.51
20080812,80.52,91.49
20080813,81.56,93.75
20080814,79.35,92.74
20080815,77.63,91.8
20080818,78.8,91.26
20080819,80.43,92.74
20080820,80.06,93.98
20080821,82.3,98.21
20080822,81.08,92.54
20080825,80.93,93.1
20080826,81.23,93.9
20080827,81.36,95.66
20080828,82.18,93.39
20080829,81.71,92.87
20080902,79.2,89.19
20080903,78.89,88.44
20080904,78.39,87.02
20080905,78.98,86.06
20080908,78.86,85.93
20080909,76.49,82.35
20080910,74.22,82.97
20080911,73.08,81.49
20080912,75.55,81.49
20080915,77.56,76.3
20080916,76.79,74.99
20080917,85.46,77.5
20080918,82.8,79.17
20080919,85.98,82.63
20080922,89.18,87.62
20080923,88.32,86.13
20080924,86.71,84.86
20080925,86.45,86.69
20080926,86.64,86.21
20080929,89.57,77.09
20080930,85.07,82.01
20081001,85.97,79.59
20081002,82.33,75.82
20081003,82.59,75.25
20081006,84.28,71.61
20081007,87.27,72.49
20081008,89.42,72.26
20081009,89.9,69.6
20081010,83.22,66.5
20081013,81.99,67.78
20081014,82.2,65.03
20081015,83.31,60.73
20081016,79.29,59.34
20081017,77.21,59.37
20081020,78.5,61.8
20081021,76.03,58.77
20081022,71.71,54.93
20081023,70.65,56.6
20081024,72.21,53
20081027,72.18,50.85
20081028,73.79,53.22
20081029,74,55.68
20081030,72.71,54
20081031,71.34,55.59
20081103,71.1,52.49
20081104,75.48,57.38
20081105,72.8,53.84
20081106,72.22,50.15
20081107,72.5,50.04
20081110,73.58,51.23
20081111,72.05,48.11
20081112,70,45.75
20081113,72.15,49
20081114,73.3,46.18
20081117,72.65,45.16
20081118,72.51,44.77
20081119,72.26,43.26
20081120,73.45,39.55
20081121,78.85,41
20081124,80.91,44.13
20081125,80.87,41.36
20081126,80.38,44.54
20081128,80.31,42.09
20081201,75.65,39.89
20081202,76.95,38.5
20081203,76.18,38.05
20081204,75.5,35.41
20081205,74.52,34.25
20081208,76.2,36.12
20081209,76.33,34.45
20081210,79.75,35.81
20081211,80.65,38.64
20081212,80.81,38.1
20081215,82.6,36.84
20081216,84.46,36.44
20081217,85.43,34.81
20081218,83.87,32.73
20081219,82.63,33.06
20081222,83.46,30.63
20081223,82.63,30
20081224,83.46,29.02
20081226,85.6,29.1
20081229,86.35,30.92
20081230,85.9,30.2
20081231,86.52,33.1
20090102,86.23,35.63
20090105,84.48,37.3
20090106,85.13,37.25
20090107,82.75,33.27
20090108,84.46,33.2
20090109,83.92,32.37
20090112,80.76,30.65
20090113,80.88,31.84
20090114,79.79,31.23
20090115,80.39,30.18
20090116,82.71,29.86
20090120,84.52,28.66
20090121,84.15,31.03
20090122,84.58,30.02
20090123,88.53,32.33
20090126,88.95,32.14
20090127,88.38,29.5
20090128,87.42,29.75
20090129,89.5,29.22
20090130,91.31,29.22
20090202,88.84,28.4
20090203,88.47,28.87
20090204,89.18,28.27
20090205,90.12,28.81
20090206,89.59,28.2
20090209,88.32,28.25
20090210,90.21,26.91
20090211,92.29,26.08
20090212,93.17,26.13
20090213,92.55,25.6
20090217,95.45,23.46
20090218,96.91,22.86
20090219,95.77,24.28
20090220,97.8,24.35
20090223,97.73,23.32
20090224,94.73,24.44
20090225,93.15,26
20090226,93.06,27.23
20090227,92.63,27.05
20090302,90.93,24.48
20090303,90.04,25.39
20090304,88.99,27.61
20090305,91.99,26.56
20090306,92.29,27.99
20090309,90.57,28.65
20090310,88.14,27.83
20090311,89.22,26.3
20090312,91.1,28.23
20090313,91.3,27.63
20090316,90.8,28.25
20090317,90.04,29.44
20090318,93.09,29.61
20090319,94.35,30.36
20090320,93.59,30.76
20090323,92.08,31.78
20090324,90.95,31.61
20090325,91.98,31.21
20090326,91.93,32.02
20090327,90.69,30.75
20090330,89.98,28.7
20090331,90.28,29.05
20090401,91.03,28.58
20090402,88.8,30.98
20090403,87.59,30.93
20090406,85.27,30.23
20090407,86.74,28.94
20090408,86.61,29.49
20090409,86.31,30.69
20090413,87.88,29.68
20090414,87.37,29.21
20090415,87.5,29.31
20090416,85.81,29.29
20090417,85.22,29.45
20090420,86.95,27.22
20090421,86.89,27.33
20090422,87.38,27.34
20090423,88.8,27.88
20090424,89.72,28.9
20090427,89.01,28.08
20090428,87.75,27.85
20090429,88.33,28.56
20090430,87.27,28.63
20090501,86.95,29.62
20090504,88.64,30.56
20090505,88.25,30.15
20090506,89.54,31.43
20090507,89.44,31.49
20090508,89.98,32.49
20090511,89.69,32.29
